facility_code,exposure_month,landsat,modis,era5,landsat-7
1,2018_11,,35.710000000000036,24.663826730516234,41.94526388000003
1,2018_12,,37.70000000000003,28.590929142121354,
1,2019_01,,30.80500000000002,26.468604536979456,32.66533958000002
1,2019_02,,30.305000000000035,26.92364055088592,33.193423670000016
1,2019_03,,30.215000000000032,27.182112158498455,40.27043408000003
1,2019_04,,27.890000000000025,24.241947661505833,
1,2019_05,,27.18500000000003,22.16309712317684,26.195027719999985
1,2019_06,,24.750000000000014,20.33928496042887,24.306571669999983
1,2019_07,,26.595000000000027,20.916227205338032,27.707501570000034
1,2019_08,,29.28500000000004,22.946025118263833,
1,2019_09,,31.495000000000033,22.534766621059873,
1,2019_10,,35.14333333333337,25.23985785617623,
1,2019_11,43.59616754000001,36.18000000000002,26.742501937018517,
1,2019_12,42.68013818000003,35.99500000000003,26.149988326206028,45.43848032000005
1,2020_01,,32.650000000000034,27.240242299725935,
1,2020_02,33.68732756000003,29.44500000000002,26.53513330919992,
1,2020_03,34.53499652000005,28.615000000000023,25.44230422973635,34.72982366000002
1,2020_04,,27.480000000000032,23.830340682135727,28.997804120000012
1,2020_05,,25.596666666666692,21.187074874549808,25.10126132000005
1,2020_06,,23.610000000000014,18.978359476725302,20.922731870000007
1,2020_07,,24.520000000000024,18.83190114831416,22.469385920000036
1,2020_08,28.628657960000055,28.65000000000002,20.735417999759818,26.70773072000003
1,2020_09,,33.350000000000044,22.24594131045876,
1,2020_10,,36.36500000000002,23.991051917947743,37.01818805000002
1,2020_11,33.40704992000002,38.80333333333336,27.466338242424854,
1,2020_12,,33.73000000000002,26.832938643424768,47.27053904000002
1,2021_01,,31.38500000000002,26.192922497821144,
1,2021_02,,29.465000000000046,25.645106865110847,29.872817240000018
1,2021_03,38.08119227,29.80000000000004,25.187832768758142,
1,2021_04,,29.05666666666671,23.45868428548181,25.244818160000023
1,2021_05,,25.845000000000027,21.077536293768162,
1,2021_06,,23.585000000000022,19.04222248925106,
1,2021_07,,24.455000000000027,18.87550514795447,
1,2021_08,,29.755000000000038,20.81891961046449,
1,2021_09,,35.09666666666667,22.491966353522457,27.945053959999996
1,2021_10,,38.010000000000026,23.20003752349527,28.19798744000002
1,2021_11,,33.47000000000003,25.74053751627605,34.14534224000005
1,2021_12,,33.93000000000003,26.942161937426533,
1,2022_01,,30.585000000000036,26.596523580243513,35.69370530000003
1,2022_02,33.43439408000003,29.18500000000003,27.014498828706337,34.11116204000001
1,2022_03,33.940261039999996,30.845000000000027,25.473586736699588,27.305884220000053
1,2022_04,,26.3366666666667,23.782323900858557,
1,2022_05,,25.350000000000023,20.864054964947456,22.59243464000002
1,2022_06,,22.440000000000026,17.849224111768933,
1,2022_07,,23.470000000000027,19.161787697576756,
1,2022_08,,26.765000000000015,20.981767108876227,
1,2022_09,,33.16000000000001,23.33175788455543,19.629011300000002
1,2022_10,,29.620000000000033,25.67399764112247,31.175082860000032
1,2022_11,,32.57666666666669,25.443879826863622,
1,2022_12,,31.965000000000018,26.256312019594304,
2,2018_11,,38.17000000000003,24.09580372704403,
2,2018_12,,38.73500000000003,28.009871829453346,
2,2019_01,,30.940000000000026,26.133780108216,
2,2019_02,,29.710000000000036,26.2204632350377,
2,2019_03,,29.495000000000033,26.415988376576422,
2,2019_04,,25.463333333333367,23.782049115498864,
2,2019_05,,25.980000000000032,21.717480103687592,
2,2019_06,,24.495000000000033,20.05370010799834,
2,2019_07,,25.590000000000032,20.703100315217057,
2,2019_08,,28.95500000000004,22.468310169507106,
2,2019_09,,33.36500000000004,21.963965839809873,
2,2019_10,,35.47000000000003,24.242270385578138,
2,2019_11,,37.19000000000003,26.259629758199083,
2,2019_12,,36.896666666666704,25.74501153269125,
2,2020_01,,32.82500000000002,26.93885201074744,
2,2020_02,,30.035000000000025,26.313776336319165,
2,2020_03,,28.610000000000028,25.145786252585822,
2,2020_04,,26.690000000000026,23.49546383751766,
2,2020_05,,24.176666666666694,20.971703465779626,
2,2020_06,,22.505000000000038,18.946211581759997,
2,2020_07,,23.005000000000024,18.797842218542655,
2,2020_08,,26.320000000000036,20.54081954545876,
2,2020_09,,31.463333333333367,21.980470932854587,
2,2020_10,,35.195000000000036,23.376618219191073,
2,2020_11,,38.49000000000003,26.564737764994334,
2,2020_12,,38.950000000000045,26.60101817551481,
2,2021_01,,35.34000000000003,26.18152401831844,
2,2021_02,,27.623333333333374,25.53061653772994,
2,2021_03,,29.37500000000003,25.17869718408076,
2,2021_04,,28.2766666666667,23.493637084960938,
2,2021_05,,24.93000000000002,21.223611142558468,
2,2021_06,,22.66500000000002,19.043820254007983,
2,2021_07,,23.50000000000003,18.920316765898065,
2,2021_08,,27.935000000000016,20.667694182037053,
2,2021_09,,34.963333333333345,22.108337338765466,
2,2021_10,,35.7966666666667,22.775382470571913,
2,2021_11,,31.165000000000035,24.866448974609398,
2,2021_12,,35.700000000000045,26.418207279328385,
2,2022_01,,29.225000000000037,26.14628626505538,
2,2022_02,,30.450000000000017,26.365982854933975,
2,2022_03,,29.410000000000025,25.237332116403934,
2,2022_04,,26.470000000000045,23.614905823601646,
2,2022_05,,23.355000000000032,20.818041020054977,
2,2022_06,,21.01000000000002,18.00846890343564,
2,2022_07,,22.105000000000032,19.272743048719178,
2,2022_08,,25.475000000000037,20.79843850084535,
2,2022_09,,32.565000000000026,23.10953837500682,
2,2022_10,,36.150000000000034,25.10524711608889,
2,2022_11,,32.66500000000002,24.887757322523328,
2,2022_12,,30.163333333333373,25.66893330235638,
